Player Id,Name,Team,#,POS,Season,DEF,RUND,PRSH,COV,DEF_GRD,RUND_GRD,PRSH_GRD,COV_GRD,TKL,AST,FIRST_TACKLES,MT,STOP,SK,HT,HU,TPR,PBU,INT,FF,FR,TFL_NG,PR_WIN_PCT,PRESSURE_PCT,PRP,CTGT,REC_ALLOWED,COMP_PCT_ALLOWED,PASS_YDS_ALLOWED,TD_ALLOWED,YPR_ALLOWED,FIRSTD_ALLOWED,FORCED_INCOMP,RTG_ALLOWED,ALIGN_DL,ALIGN_IDL,ALIGN_EDGE,ALIGN_BOX,ALIGN_ILB,ALIGN_OLB,ALIGN_SS,ALIGN_FS,ALIGN_SCB,ALIGN_CB,PASS_SNAPS,PRSH_USAGE_PCT,COV_USAGE_PCT,EARLY_PASS_SNAPS,EARLY_PRSH_PCT,EARLY_COV_PCT,LATE_PASS_SNAPS,LATE_PRSH_PCT,LATE_COV_PCT,TECH_0,TECH_1,TECH_2,TECH_2I,TECH_3,TECH_4,TECH_4I,TECH_5,TECH_6,TECH_6I,TECH_7,TECH_9,ZONE_PCT,MAN_PCT,MAN_SNAPS,PRESS_COV_PCT,ZONE_FLAT,ZONE_CURL_FLAT,ZONE_SCIF,ZONE_HOOK_CURL,ZONE_HOLE,ZONE_DEEP_QTR,ZONE_DEEP_HALF,ZONE_DEEP_THIRD,ZONE_FREE,ZONE_SPY,MATCH_SNAPS,PRESS_JAM,PRESS_CONTACT,PRESS_MIRROR,PRESS_REDIRECT,PRESS_BAIL
64470,Will Whitson,MISS STATE,43,ED,2025,46,18,28,,81.1,75.4,74.8,,3,2,5,0,3,2,0,4,6,0,0,0,0,3,21.4%,21.4%,14.3,0,,,,,,,,,46,2,44,0,0,4,0,0,0,0,28,100%,0,18,100%,0,10,100%,0,0,0,0,0,1,2,5,2,5,3,2,2,,,,,,,,,,,,,,,,,,,,
198866,AJ Rice,MISS STATE,32,LB,2025,3,3,0,,71.5,66.9,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173156,Derion Gullette,MISS STATE,16,LB,2025,244,116,28,56.9,68.3,73,70.7,100,25,11,22,8,11,2,0,2,4,0,0,0,0,1,10.7%,14.3%,10.7,8,7,87.5%,114,1,16.3,5,0,158.3,20,0,20,190,189,20,1,0,33,1,128,21.9%,78.1%,68,11.8%,88.2%,43,32.6%,67.4%,0,0,0,0,0,0,0,0,1,1,1,6,82.0%,18.0%,18,2.0%,0,20,1,45,13,0,0,0,0,0,0,0,0,2,0,0
174742,Jalen Smith,MISS STATE,10,LB,2025,372,162,35,62,62.7,64.6,54.2,175,40,18,40,13,11,0,3,0,3,0,0,0,0,4,2.9%,8.6%,4.3,26,22,84.6%,205,1,9.3,9,0,112.3,11,0,11,287,287,11,0,0,74,0,210,16.7%,83.3%,119,9.2%,90.8%,57,31.6%,68.4%,0,0,0,0,0,0,0,0,1,0,1,3,81.7%,18.3%,32,1.1%,0,33,0,80,29,0,0,0,0,0,0,1,0,1,0,0
198862,LaKendrick James,MISS STATE,31,LB,2025,24,10,8,73.5,78.5,74.9,61,6,4,1,1,0,1,0,0,1,1,0,0,0,0,0,12.5%,12.5%,6.3,0,0,0.0%,0,0,0.0,0,0,0.0,10,0,10,13,13,8,0,0,1,0,14,57.1%,42.9%,2,50.0%,50.0%,4,25.0%,75.0%,0,0,0,0,0,0,0,0,5,0,0,0,100%,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
198856,Montrell Chapman,MISS STATE,30,LB,2025,18,4,0,49.7,46.7,53.4,,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,3,2,66.7%,18,0,9.0,0,0,82.6,0,0,0,11,11,0,0,0,7,0,14,0,100%,3,0,100%,3,0,100%,,,,,,,,,,,,,100%,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0
171329,Nevaeh Sanders,MISS STATE,37,LB,2025,117,52,31,48.4,61.3,74.7,54.5,34,6,6,7,2,2,0,0,7,7,0,0,0,0,1,9.7%,22.6%,11.3,6,6,100%,40,0,6.7,2,0,94.4,69,0,69,42,42,64,0,0,6,0,65,47.7%,52.3%,24,45.8%,54.2%,31,61.3%,38.7%,0,0,0,0,0,0,0,1,2,0,3,6,97.1%,0,0,0,0,4,0,9,20,0,0,0,0,0,0,0,0,0,0,0
146854,Nic Mitchell,MISS STATE,40,LB,2025,590,297,52,62.5,65.2,65.9,60.7,241,43,20,49,8,16,1,2,4,7,0,1,0,1,8,7.7%,13.5%,7.7,32,25,78.1%,184,1,7.4,8,0,88.0,40,0,40,434,434,40,0,1,112,3,293,17.8%,82.3%,175,15.4%,84.6%,97,24.7%,75.3%,0,0,0,0,0,0,0,0,0,0,1,7,83.8%,14.5%,35,0.8%,0,35,1,104,58,0,0,0,0,0,0,1,1,0,0,0
198871,Tyler Lockhart,MISS STATE,11,LB,2025,220,109,18,51.2,50.4,56.9,56.2,93,22,8,21,1,10,0,0,3,3,0,0,0,0,0,5.6%,16.7%,8.3,7,5,71.4%,48,0,9.6,1,0,90.2,19,0,19,174,173,19,1,0,27,0,111,16.2%,83.8%,61,16.4%,83.6%,37,21.6%,78.4%,0,0,0,0,0,0,0,0,1,0,0,1,80.7%,18.3%,17,2.1%,3,17,1,36,17,0,0,0,0,0,1,2,0,0,0,0
205099,Tyshun Willis,MISS STATE,41,LB,2025,4,3,1,,37.5,46.6,60,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0,0,,,,,,,,,1,0,1,3,3,1,0,0,0,0,1,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
172559,Zakari Tillman,MISS STATE,07,LB,2025,404,190,33,50.7,53.6,62.6,57.8,181,30,8,35,12,16,1,1,3,5,0,1,0,0,6,6.1%,15.2%,9.1,21,17,81.0%,161,0,9.5,7,0,78.8,28,0,28,320,317,28,3,1,53,2,214,15.4%,84.6%,136,14.7%,85.3%,61,16.4%,83.6%,0,0,0,0,0,0,0,0,0,0,0,3,82.9%,15.5%,28,1.7%,1,58,1,75,12,0,0,0,0,0,0,0,1,2,0,0
146606,Brylan Lanier,MISS STATE,03,S,2025,652,294,10,61.2,60.6,56.9,66.7,348,52,11,58,13,6,1,0,0,1,1,4,0,0,1,0,10.0%,10.0,48,29,60.4%,384,3,13.2,16,3,71.9,4,0,4,322,146,4,176,137,174,15,358,2.8%,97.2%,208,3.9%,96.2%,109,1.8%,98.2%,0,0,0,0,0,0,0,0,0,0,0,1,72.7%,26.4%,92,6.9%,25,50,4,28,5,55,36,34,14,0,2,3,16,5,0,0
191207,Cyrus Reyes,MISS STATE,19,S,2025,36,14,0,55.4,56.9,61.8,,22,1,0,2,0,0,0,0,0,0,1,0,0,0,0,,,,3,1,33.3%,11,0,11.0,1,1,45.1,0,0,0,17,2,0,15,11,8,0,22,0,100%,4,0,100%,6,0,100%,,,,,,,,,,,,,95.5%,4.5%,1,0,0,4,0,0,0,13,3,0,0,0,1,0,0,0,0,0
191196,Fatt Forrest,MISS STATE,00,S,2025,16,8,0,65.3,70.5,70.6,,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.0%,0,0,0.0,0,0,0.0,0,0,0,6,6,0,0,0,10,0,8,0,100%,2,0,100%,2,0,100%,,,,,,,,,,,,,100%,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
143898,Hunter Washington,MISS STATE,21,S,2025,443,211,5,52.8,50.7,52.8,56.1,227,35,7,30,8,4,0,0,1,1,1,1,0,0,0,0,20.0%,10.0,24,16,66.7%,216,3,13.5,11,1,117.4,6,0,6,208,59,6,149,122,101,6,232,2.2%,97.8%,131,1.5%,98.5%,77,3.9%,96.1%,0,0,0,0,0,0,0,0,2,0,0,0,78.4%,20.7%,47,7.5%,10,27,6,23,2,42,30,20,16,0,2,3,12,2,0,0
172557,Isaac Smith,MISS STATE,02,S,2025,419,182,20,75.5,75.7,75.8,53.2,217,33,15,33,5,11,1,0,2,3,5,1,2,1,1,10.0%,15.0%,10.0,16,6,37.5%,69,0,11.5,4,5,25.3,61,0,61,147,104,61,43,139,69,3,237,8.4%,91.6%,147,8.8%,91.2%,75,9.3%,90.7%,0,0,0,0,0,0,0,0,0,0,0,6,81.6%,18.0%,39,6.5%,5,41,2,21,11,12,0,44,18,0,0,10,0,4,0,0
198860,Ja'Bryis Stewart,MISS STATE,36,S,2025,16,9,0,63.7,69.1,70.6,,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,0.0%,0,0,0.0,0,0,0.0,0,0,0,7,0,0,7,8,1,0,7,0,100%,1,0,100%,2,0,100%,,,,,,,,,,,,,100%,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0
184333,Jahron Manning,MISS STATE,13,S,2025,643,303,8,47.6,57.4,73.5,62.7,332,58,23,58,10,21,0,1,2,3,3,1,0,0,5,0,37.5%,18.8,49,26,53.1%,390,0,15.0,18,3,71.0,18,0,18,298,136,18,162,176,141,10,340,2.4%,97.7%,211,3.3%,96.7%,102,1.0%,99.0%,0,0,0,0,0,0,0,0,0,0,0,1,78.6%,20.8%,69,6.6%,21,59,7,22,8,56,27,31,22,0,4,6,14,2,0,0
184751,Stonka Burnside,MISS STATE,05,S,2025,13,2,0,48.6,49.9,60,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,100%,7,1,7.0,1,0,135.4,0,0,0,5,3,0,2,8,0,0,11,0,100%,0,0,0,3,0,100%,,,,,,,,,,,,,100%,0,0,0,0,1,0,0,1,4,3,1,0,0,1,0,0,0,0,0
163682,Tanner Johnson,MISS STATE,28,S,2025,99,60,0,88.7,74.8,53.5,48.8,39,8,2,12,8,2,0,0,1,1,1,0,1,0,1,,,,8,6,75.0%,44,0,7.3,1,1,87.5,0,0,0,51,16,0,35,31,16,1,39,0,100%,22,0,100%,13,0,100%,,,,,,,,,,,,,87.2%,10.3%,4,0,0,7,2,1,0,14,5,2,1,0,1,0,0,0,0,0
172389,Tony Mitchell,MISS STATE,09,S,2025,374,191,27,65.9,67.4,66.8,65.2,156,18,8,19,7,6,0,0,6,6,0,0,0,0,5,18.5%,22.2%,11.1,10,9,90.0%,72,0,8.0,4,0,96.7,68,0,68,145,98,68,47,72,87,2,183,14.8%,85.3%,91,16.5%,83.5%,56,19.6%,80.4%,0,0,0,0,0,0,0,0,1,1,0,5,82.7%,16.0%,25,5.1%,2,39,0,10,13,10,0,18,9,0,2,4,1,3,0,0
184766,Tyler Woodard,MISS STATE,12,S,2025,42,19,1,61.2,66.7,72.6,60,22,3,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0.0%,0.0,1,1,100%,3,0,3.0,0,0,79.2,6,0,6,15,10,6,5,8,13,0,23,4.3%,95.7%,18,5.6%,94.4%,5,0,100%,0,0,0,0,0,0,0,0,0,0,1,0,81.8%,18.2%,4,9.1%,0,4,0,2,1,5,0,5,0,0,0,2,0,0,0,0
172558,Vic Sutton,MISS STATE,34,S,2025,6,6,0,,60.8,60.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
