number,name,position,image,backup,verified
21,Nate Fischer,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Fischer_Nate.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FFischer_Nate.jpg&width=1600,pattern-derived
22,Jayden Sweeney,S,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Sweeney_Jayden.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSweeney_Jayden.jpg&width=1600,pattern-derived
23,JK Johnson,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Johnson_JK.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FJohnson_JK.jpg&width=1600,pattern-derived
24,Ahlston Ware,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Ware_Ahlston.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FWare_Ahlston.jpg&width=1600,pattern-derived
25,Kam Herring,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Herring_Kam.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FHerring_Kam.jpg&width=1600,pattern-derived
26,Amar Reynolds,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Reynolds_Amar.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FReynolds_Amar.jpg&width=1600,pattern-derived
27,Travis Jackson,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Jackson_Travis.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FJackson_Travis.jpg&width=1600,pattern-derived
28,Zyere Horton,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Horton_Zyere.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FHorton_Zyere.jpg&width=1600,pattern-derived
30,Justin Weatherall,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Weatherall_Justin.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FWeatherall_Justin.jpg&width=1600,pattern-derived
31,Kenyon Garner,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Garner_Kenyon.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FGarner_Kenyon.jpg&width=1600,pattern-derived
32,Sean Williams,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Williams_Sean.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FWilliams_Sean.jpg&width=1600,pattern-derived
33,Ja'Cari Jackson,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Jackson_JaCari.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FJackson_JaCari.jpg&width=1600,pattern-derived
34,Brenden Guidroz,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Guidroz_Brenden.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FGuidroz_Brenden.jpg&width=1600,pattern-derived
35,Tito Nunez,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Nunez_Tito.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FNunez_Tito.jpg&width=1600,pattern-derived
36,Darius Smith,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Smith_Darius.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSmith_Darius.jpg&width=1600,pattern-derived
38,Christopher Tank Jr.,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Tank_Jr_Christopher.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FTank_Jr_Christopher.jpg&width=1600,pattern-derived
39,RJ Lampkin,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Lampkin_RJ.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FLampkin_RJ.jpg&width=1600,pattern-derived
40,Josiah Farmer,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Farmer_Josiah.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FFarmer_Josiah.jpg&width=1600,pattern-derived
42,Larry Spring,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Spring_Larry.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSpring_Larry.jpg&width=1600,pattern-derived
43,Hector Chavez,LB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Chavez_Hector.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FChavez_Hector.jpg&width=1600,pattern-derived
44,Roman Garcia IV,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Garcia_IV_Roman.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FGarcia_IV_Roman.jpg&width=1600,pattern-derived
45,Thomas Jackson,DB,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Jackson_Thomas.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FJackson_Thomas.jpg&width=1600,pattern-derived
55,Alexander Kocher,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Kocher_Alexander.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FKocher_Alexander.jpg&width=1600,pattern-derived
56,Gabriel Birnbaum,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Birnbaum_Gabriel.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBirnbaum_Gabriel.jpg&width=1600,pattern-derived
62,Enyce Sledge,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Sledge_Enyce.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FSledge_Enyce.jpg&width=1600,pattern-derived
89,Nick Toussaint,EDGE,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Toussaint_Nick.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FToussaint_Nick.jpg&width=1600,pattern-derived
91,Lebron Edmond,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Edmond_Lebron.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FEdmond_Lebron.jpg&width=1600,pattern-derived
94,Corey Clark,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Clark_Corey.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FClark_Corey.jpg&width=1600,pattern-derived
95,Nimari Brantley,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Brantley_Nimari.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBrantley_Nimari.jpg&width=1600,pattern-derived
97,Samuel Benoit,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Benoit_Samuel.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBenoit_Samuel.jpg&width=1600,pattern-derived
98,Blake Burris,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Burris_Blake.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FBurris_Blake.jpg&width=1600,pattern-derived
99,Nate Lovelace,DL,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fausports.com/images/2026/4/24/Lovelace_Nate.jpg,https://images.sidearmdev.com/resize?type=jpeg&url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffausports.com%2Fimages%2F2026%2F4%2F24%2FLovelace_Nate.jpg&width=1600,pattern-derived
